1.19E+00,-1.25E+01
1.48E+00,-1.24E+01
1.68E+00,-1.25E+01
1.78E+00,-1.42E+01
1.87E+00,-1.32E+01
1.97E+00,-1.30E+01
2.02E+00,-1.30E+01
2.12E+00,-1.24E+01
2.17E+00,-1.25E+01
2.22E+00,-1.18E+01
2.26E+00,-1.18E+01
2.31E+00,-1.30E+01
2.36E+00,-1.30E+01
2.41E+00,-1.23E+01
2.46E+00,-1.21E+01
2.51E+00,-1.25E+01
2.56E+00,-1.24E+01
2.61E+00,-1.23E+01
2.66E+00,-1.20E+01
2.70E+00,-1.22E+01
2.75E+00,-1.26E+01
2.80E+00,-1.28E+01
2.85E+00,-1.27E+01
2.90E+00,-1.27E+01
2.95E+00,-1.33E+01
3.00E+00,-1.33E+01
3.05E+00,-1.34E+01
3.09E+00,-1.35E+01
3.14E+00,-1.37E+01
3.19E+00,-1.39E+01
3.24E+00,-1.40E+01
3.29E+00,-1.44E+01
3.34E+00,-1.47E+01
3.39E+00,-1.45E+01
3.44E+00,-1.48E+01
3.48E+00,-1.52E+01
3.53E+00,-1.51E+01
3.58E+00,-1.55E+01
3.63E+00,-1.54E+01
3.68E+00,-1.58E+01
3.73E+00,-1.58E+01
3.78E+00,-1.60E+01
3.83E+00,-1.62E+01
3.87E+00,-1.62E+01
3.92E+00,-1.65E+01
3.97E+00,-1.67E+01
4.02E+00,-1.68E+01
4.07E+00,-1.70E+01
4.12E+00,-1.72E+01
4.17E+00,-1.74E+01
4.22E+00,-1.74E+01
4.27E+00,-1.77E+01
4.31E+00,-1.78E+01
4.36E+00,-1.79E+01
4.41E+00,-1.81E+01
4.46E+00,-1.82E+01
4.51E+00,-1.84E+01
4.56E+00,-1.85E+01
4.61E+00,-1.87E+01
4.66E+00,-1.89E+01
4.70E+00,-1.90E+01
4.75E+00,-1.93E+01
4.80E+00,-1.93E+01
4.85E+00,-1.95E+01
4.90E+00,-1.96E+01
4.95E+00,-1.98E+01
5.00E+00,-1.99E+01
5.05E+00,-2.01E+01
5.09E+00,-2.02E+01
5.14E+00,-2.03E+01
5.19E+00,-2.05E+01
5.24E+00,-2.07E+01
5.29E+00,-2.08E+01
5.34E+00,-2.09E+01
5.39E+00,-2.10E+01
5.44E+00,-2.12E+01
5.49E+00,-2.13E+01
5.53E+00,-2.15E+01
5.58E+00,-2.16E+01
5.63E+00,-2.18E+01
5.68E+00,-2.19E+01
5.73E+00,-2.20E+01
5.78E+00,-2.21E+01
5.83E+00,-2.23E+01
5.88E+00,-2.24E+01
5.92E+00,-2.25E+01
5.97E+00,-2.26E+01
6.02E+00,-2.26E+01
