"X(¥ìm)","Z(¥ìm)"
"2446.551 ","1488.104 "
"2457.877 ","1485.619 "
"2469.204 ","1484.234 "
"2480.531 ","1483.444 "
"2491.857 ","1482.398 "
"2503.184 ","1481.568 "
"2514.511 ","1481.116 "
"2525.837 ","1480.859 "
"2537.164 ","1482.107 "
"2548.490 ","1484.243 "
"2559.817 ","1486.399 "
"2571.144 ","1489.259 "
"2582.470 ","1492.803 "
"2593.797 ","1495.701 "
"2605.124 ","1499.589 "
"2616.450 ","1506.217 "
"2627.777 ","1510.058 "
"2639.103 ","1512.008 "
"2650.430 ","1515.870 "
"2661.757 ","1519.620 "
"2673.083 ","1522.798 "
"2684.410 ","1526.483 "
"2695.737 ","1530.038 "
"2707.063 ","1532.998 "
"2718.390 ","1535.530 "
"2729.716 ","1536.616 "
"2741.043 ","1538.089 "
"2752.370 ","1538.865 "
"2763.696 ","1539.069 "
"2775.023 ","1537.870 "
"2786.350 ","1538.039 "
"2797.676 ","1536.816 "
"2809.003 ","1535.413 "
"2820.329 ","1533.028 "
"2831.656 ","1530.709 "
"2842.983 ","1527.932 "
"2854.309 ","1526.578 "
"2865.636 ","1523.329 "
"2876.962 ","1519.738 "
"2888.289 ","1516.758 "
"2899.616 ","1514.021 "
"2910.942 ","1511.256 "
"2922.269 ","1508.888 "
"2933.596 ","1507.131 "
"2944.922 ","1505.653 "
"2956.249 ","1505.272 "
"2967.575 ","1505.175 "
"2978.902 ","1503.995 "
"2990.229 ","1502.807 "
"3001.555 ","1502.723 "
"3012.882 ","1502.543 "
"3024.209 ","1502.609 "
"3035.535 ","1503.546 "
"3046.862 ","1505.341 "
"3058.188 ","1504.389 "
"3069.515 ","1505.711 "
"3080.842 ","1507.457 "
"3092.168 ","1509.225 "
"3103.495 ","1511.878 "
"3114.822 ","1513.183 "
"3126.148 ","1515.486 "
"3137.475 ","1517.196 "
"3148.801 ","1519.530 "
"3160.128 ","1520.841 "
"3171.455 ","1522.172 "
"3182.781 ","1523.467 "
"3194.108 ","1523.029 "
"3205.435 ","1523.141 "
"3216.761 ","1522.593 "
"3228.088 ","1521.483 "
"3239.414 ","1520.145 "
"3250.741 ","1517.963 "
"3262.068 ","1516.388 "
"3273.394 ","1515.008 "
"3284.721 ","1513.113 "
"3296.048 ","1511.836 "
"3307.374 ","1510.809 "
"3318.701 ","1508.858 "
"3330.027 ","1506.278 "
"3341.354 ","1503.731 "
"3352.681 ","1501.194 "
"3364.007 ","1498.483 "
"3375.334 ","1495.401 "
"3386.661 ","1493.382 "
"3397.987 ","1490.399 "
"3409.314 ","1488.912 "
"3420.640 ","1487.218 "
"3431.967 ","1487.090 "
"3443.294 ","1485.416 "
"3454.620 ","1485.823 "
"3465.947 ","1486.976 "
"3477.274 ","1487.051 "
"3488.600 ","1487.993 "
"3499.927 ","1489.313 "
"3511.253 ","1492.346 "
"3522.580 ","1493.176 "
"3533.907 ","1494.865 "
"3545.233 ","1495.819 "
"3556.560 ","1499.354 "
"3567.887 ","1501.048 "
"3579.213 ","1502.424 "
"3590.540 ","1502.273 "
"3601.866 ","1504.062 "
"3613.193 ","1504.299 "
"3624.520 ","1504.581 "
"3635.846 ","1504.640 "
"3647.173 ","1503.066 "
"3658.500 ","1502.589 "
"3669.826 ","1502.923 "
"3681.153 ","1503.590 "
"3692.479 ","1503.395 "
"3703.806 ","1503.594 "
"3715.133 ","1506.142 "
"3726.459 ","1507.391 "
"3737.786 ","1509.551 "
"3749.113 ","1512.268 "
"3760.439 ","1513.511 "
"3771.766 ","1515.363 "
"3783.092 ","1517.408 "
"3794.419 ","1519.339 "
"3805.746 ","1521.045 "
"3817.072 ","1523.547 "
"3828.399 ","1523.368 "
"3839.726 ","1526.690 "
"3851.052 ","1527.497 "
"3862.379 ","1528.466 "
"3873.705 ","1531.516 "
"3885.032 ","1531.693 "
"3896.359 ","1531.931 "
"3907.685 ","1532.351 "
"3919.012 ","1534.226 "
"3930.339 ","1533.437 "
"3941.665 ","1533.144 "
"3952.992 ","1532.711 "
"3964.318 ","1532.811 "
"3975.645 ","1532.925 "
"3986.972 ","1531.710 "
"3998.298 ","1530.911 "
"4009.625 ","1530.563 "
"4020.952 ","1530.616 "
"4032.278 ","1530.058 "
"4043.605 ","1528.906 "
"4054.931 ","1529.157 "
"4066.258 ","1528.712 "
"4077.585 ","1528.243 "
"4088.911 ","1527.028 "
"4100.238 ","1525.899 "
"4111.565 ","1524.258 "
"4122.891 ","1523.111 "
"4134.218 ","1521.511 "
"4145.544 ","1519.909 "
"4156.871 ","1519.293 "
"4168.198 ","1518.935 "
"4179.524 ","1516.863 "
"4190.851 ","1516.366 "
"4202.178 ","1516.896 "
"4213.504 ","1515.410 "
"4224.831 ","1517.675 "
"4236.157 ","1517.817 "
"4247.484 ","1519.773 "
"4258.811 ","1519.902 "
"4270.137 ","1520.635 "
"4281.464 ","1521.105 "
