IDIADA_Epoxy
1
151416
2.670690e-06
1e-06
0.000 -250.021
2.671 -249.964
5.341 -249.997
8.012 -249.652
10.683 -248.523
13.353 -247.277
16.024 -246.956
18.695 -247.017
21.366 -246.371
24.036 -245.357
26.707 -244.785
29.378 -244.759
32.048 -245.091
34.719 -245.416
37.390 -245.054
40.060 -244.231
42.731 -243.953
45.402 -244.351
48.072 -244.853
50.743 -245.164
53.414 -245.748
56.084 -246.518
58.755 -247.129
61.426 -247.299
64.097 -247.486
66.767 -247.854
69.438 -248.410
72.109 -248.934
74.779 -249.424
77.450 -249.856
80.121 -249.399
82.791 -247.575
85.462 -245.688
88.133 -245.335
90.803 -246.095
93.474 -247.001
96.145 -247.664
98.816 -247.782
101.486 -247.365
104.157 -246.821
106.828 -246.030
109.498 -244.639
112.169 -243.354
114.840 -243.311
117.510 -244.097
120.181 -244.037
122.852 -243.165
125.522 -243.011
128.193 -243.595
130.864 -243.677
133.535 -243.032
136.205 -242.344
138.876 -241.791
141.547 -240.676
144.217 -239.322
146.888 -238.564
149.559 -238.584
152.229 -238.705
154.900 -238.341
157.571 -237.368
160.241 -236.008
162.912 -234.779
165.583 -234.206
168.253 -233.832
170.924 -233.231
173.595 -232.496
176.266 -231.888
178.936 -231.381
181.607 -230.948
184.278 -230.568
186.948 -230.314
189.619 -229.796
192.290 -228.535
194.960 -227.373
197.631 -227.652
200.302 -228.451
202.972 -228.058
205.643 -226.585
208.314 -225.024
210.985 -223.864
213.655 -222.998
216.326 -222.579
218.997 -221.915
221.667 -221.239
224.338 -220.560
227.009 -220.000
229.679 -219.071
232.350 -218.059
235.021 -216.694
237.691 -215.491
240.362 -214.364
243.033 -213.611
245.703 -212.543
248.374 -211.381
251.045 -210.548
253.716 -210.278
256.386 -210.195
259.057 -210.056
261.728 -209.522
264.398 -208.564
267.069 -207.405
269.740 -206.407
272.410 -205.804
275.081 -205.593
277.752 -205.303
280.422 -204.540
283.093 -203.601
285.764 -202.914
288.435 -202.457
291.105 -201.981
293.776 -201.508
296.447 -201.082
299.117 -200.528
301.788 -199.528
304.459 -198.239
307.129 -196.666
309.800 -195.116
312.471 -193.248
315.141 -191.835
317.812 -191.086
320.483 -191.092
323.153 -191.011
325.824 -190.764
328.495 -190.250
331.166 -189.589
333.836 -188.644
336.507 -187.754
339.178 -185.706
341.848 -183.159
344.519 -181.234
347.190 -180.683
349.860 -180.742
352.531 -180.988
355.202 -180.231
357.872 -178.298
360.543 -176.561
363.214 -175.701
365.885 -175.301
368.555 -174.962
371.226 -174.389
373.897 -173.440
376.567 -172.589
379.238 -172.073
381.909 -171.236
384.579 -169.692
387.250 -168.292
389.921 -167.894
392.591 -167.971
395.262 -167.617
397.933 -166.934
400.604 -166.048
403.274 -164.917
405.945 -163.394
408.616 -162.273
411.286 -162.128
413.957 -162.412
416.628 -161.664
419.298 -160.139
421.969 -158.879
424.640 -157.954
427.310 -156.445
429.981 -154.853
432.652 -154.211
435.322 -154.355
437.993 -153.998
440.664 -152.820
443.335 -151.150
446.005 -149.430
448.676 -148.159
451.347 -147.569
454.017 -147.259
456.688 -146.988
459.359 -146.798
462.029 -146.662
464.700 -146.827
467.371 -147.205
470.041 -146.842
472.712 -145.369
475.383 -143.782
478.054 -142.771
480.724 -141.926
483.395 -140.875
486.066 -139.080
488.736 -136.714
491.407 -134.130
494.078 -131.930
496.748 -129.794
499.419 -127.919
502.090 -124.831
504.760 -120.433
507.431 -115.234
510.102 -111.310
512.772 -107.519
515.443 -103.893
518.114 -101.031
520.785 -99.682
523.455 -98.801
526.126 -97.450
528.797 -95.752
531.467 -94.094
534.138 -92.736
536.809 -91.781
539.479 -91.140
542.150 -90.213
544.821 -89.174
547.491 -88.053
550.162 -86.759
552.833 -84.267
555.504 -82.389
558.174 -82.211
560.845 -82.863
563.516 -82.129
566.186 -80.615
568.857 -80.264
571.528 -80.851
574.198 -80.863
576.869 -80.043
579.540 -79.253
582.210 -78.678
584.881 -77.607
587.552 -76.227
590.222 -75.519
592.893 -75.715
595.564 -75.660
598.235 -75.013
600.905 -74.892
603.576 -75.463
606.247 -75.337
608.917 -73.944
611.588 -72.109
614.259 -70.856
616.929 -70.151
619.600 -69.779
622.271 -69.434
624.941 -68.755
627.612 -68.515
630.283 -69.281
632.954 -70.186
635.624 -70.404
638.295 -70.187
640.966 -70.211
643.636 -70.383
646.307 -70.632
648.978 -70.939
651.648 -71.445
654.319 -72.134
656.990 -73.165
659.660 -74.090
662.331 -74.458
665.002 -74.186
667.673 -73.716
670.343 -73.192
673.014 -72.407
675.685 -71.337
678.355 -69.941
681.026 -68.513
683.697 -66.871
686.367 -65.437
689.038 -63.869
691.709 -62.489
